title,authors,arxiv_url,abstract,abstract_ja,figure1_or_table1
Multi-Proxy Wasserstein Classifier for Image Classification,"['Benlin Liu', 'Yongming Rao', 'Jiwen Lu', 'Jie Zhou', 'Cho-Jui Hsieh']",,,,
Lipschitz Lifelong Reinforcement Learning,"['Erwan Lecarpentier', 'David Abel', 'Kavosh Asadi', 'Yuu Jinnai', 'Emmanuel Rachelson', 'Michael L. Littman']",https://arxiv.org/abs/2001.05411,"We consider the problem of knowledge transfer when an agent is facing a series of Reinforcement Learning (RL) tasks. We introduce a novel metric between Markov Decision Processes and establish that close MDPs have close optimal value functions. Formally, the optimal value functions are Lipschitz continuous with respect to the tasks space. These theoretical results lead us to a value transfer method for Lifelong RL, which we use to build a PAC-MDP algorithm with improved convergence rate. We illustrate the benefits of the method in Lifelong RL experiments.",エージェントが一連の強化学習（RL）タスクに直面している場合、知識の伝達の問題を検討します。マルコフ決定過程の間に新しいメトリックを導入し、近いMDPが近い最適値関数を持つことを確立します。正式には、最適値関数は、タスク空間に関して連続的なリプシッツです。これらの理論的結果は、生涯RLの値転送方法につながります。これを使用して、収束率が改善されたPAC-MDPアルゴリズムを構築します。生涯RL実験におけるこの方法の利点を説明します。,https://d3i71xaburhd42.cloudfront.net/0746b7f622f99bdde8bf5d7440264ff5f662851d/2-Figure1-1.png
Decentralized Multi-Agent Linear Bandits with Safety Constraints,"['Sanae Amani', 'Christos Thrampoulidis']",https://arxiv.org/abs/2012.00314,"We study decentralized stochastic linear bandits, where a network of $N$ agents acts cooperatively to efficiently solve a linear bandit-optimization problem over a $d$-dimensional space. For this problem, we propose DLUCB: a fully decentralized algorithm that minimizes the cumulative regret over the entire network. At each round of the algorithm each agent chooses its actions following an upper confidence bound (UCB) strategy and agents share information with their immediate neighbors through a carefully designed consensus procedure that repeats over cycles. Our analysis adjusts the duration of these communication cycles ensuring near-optimal regret performance $\mathcal{O}(d\log{NT}\sqrt{NT})$ at a communication rate of $\mathcal{O}(dN^2)$ per round. The structure of the network affects the regret performance via a small additive term - coined the regret of delay - that depends on the spectral gap of the underlying graph. Notably, our results apply to arbitrary network topologies without a requirement for a dedicated agent acting as a server. In consideration of situations with high communication cost, we propose RC-DLUCB: a modification of DLUCB with rare communication among agents. The new algorithm trades off regret performance for a significantly reduced total communication cost of $\mathcal{O}(d^3N^{2.5})$ over all $T$ rounds. Finally, we show that our ideas extend naturally to the emerging, albeit more challenging, setting of safe bandits. For the recently studied problem of linear bandits with unknown linear safety constraints, we propose the first safe decentralized algorithm. Our study contributes towards applying bandit techniques in safety-critical distributed systems that repeatedly deal with unknown stochastic environments. We present numerical simulations for various network topologies that corroborate our theoretical findings.",N個のエージェントのネットワークが協調して動作し、d次元空間上の線形バンディット最適化問題を効率的に解決する分散型確率線形バンディットを研究します。この問題に対して、DLUCBを提案します。これは、ネットワーク全体にわたる累積的な後悔を最小限に抑える完全分散型アルゴリズムです。アルゴリズムの各ラウンドで、各エージェントは上限信頼限界（UCB）戦略に従ってアクションを選択し、エージェントは、サイクルにわたって繰り返される慎重に設計されたコンセンサス手順を通じて、直接の隣人と情報を共有します。私たちの分析では、これらの通信サイクルの期間を調整して、ラウンドあたりの通信速度O（dN2）でほぼ最適な後悔パフォーマンス$ \ mathcal {O}（d \ log {NT} \ sqrt {NT}）$を確保します。ネットワークの構造は、基になるグラフのスペクトルギャップに依存する小さな加法項（遅延の後悔と呼ばれる）を介して後悔のパフォーマンスに影響を与えます。特に、私たちの結果は、サーバーとして機能する専用エージェントを必要とせずに、任意のネットワークトポロジに適用されます。通信コストが高い状況を考慮して、エージェント間の通信がまれなDLUCBの修正版であるRC-DLUCBを提案します。新しいアルゴリズムは、後悔のパフォーマンスとトレードオフを行い、すべてのTラウンドで通信コストの合計をO（d3N ^（2.5））に大幅に削減します。最後に、私たちのアイデアは、より挑戦的ではありますが、安全な盗賊の新たな設定に自然に拡張されることを示します。線形安全制約が不明な線形盗賊の最近研究された問題について、最初の安全な分散アルゴリズムを提案します。私たちの研究は、未知の確率的環境を繰り返し処理するセーフティクリティカルな分散システムにバンディット技術を適用することに貢献しています。理論的発見を裏付けるさまざまなネットワークトポロジの数値シミュレーションを提示します。,https://d3i71xaburhd42.cloudfront.net/17e65ef9d81727671cc75280ee30a5e219c2956d/26-Figure2-1.png
Near-Optimal MNL Bandits Under Risk Criteria,"['Guangyu Xi', 'Chao Tao', 'Yuan Zhou']",https://arxiv.org/abs/2009.12511,"We study MNL bandits, which is a variant of the traditional multi-armed bandit problem, under risk criteria. Unlike the ordinary expected revenue, risk criteria are more general goals widely used in industries and bussiness. We design algorithms for a broad class of risk criteria, including but not limited to the well-known conditional value-at-risk, Sharpe ratio and entropy risk, and prove that they suffer a near-optimal regret. As a complement, we also conduct experiments with both synthetic and real data to show the empirical performance of our proposed algorithms.",従来の多腕バンディット問題の変形であるMNLバンディットをリスク基準の下で研究します。通常の期待収益とは異なり、リスク基準は、業界やビジネスで広く使用されているより一般的な目標です。よく知られている条件付きリスク値、シャープレシオ、エントロピーリスクなど、幅広いクラスのリスク基準のアルゴリズムを設計し、それらがほぼ最適な後悔を被っていることを証明します。補足として、提案されたアルゴリズムの経験的パフォーマンスを示すために、合成データと実際のデータの両方で実験も行います。,https://d3i71xaburhd42.cloudfront.net/3101d0360cab5007b2cae2ff79c21fb03cb58ce3/7-Figure1-1.png
A Continual Learning Framework for Uncertainty-Aware Interactive Image Segmentation,"['Ervine Zheng', 'Qi Yu', 'Rui Li', 'Pengcheng Shi', 'Anne Haake']",,,,
DenserNet: Weakly Supervised Visual Localization Using Multi-Scale Feature Aggregation,"['Dongfang Liu', 'Yiming Cui', 'Liqi Yan', 'Christos Mousas', 'Baijian Yang', 'Yingjie Victor Chen']",https://arxiv.org/abs/2012.02366,"In this work, we introduce a Denser Feature Network (DenserNet) for visual localization. Our work provides three principal contributions. First, we develop a convolutional neural network (CNN) architecture which aggregates feature maps at different semantic levels for image representations. Using denser feature maps, our method can produce more keypoint features and increase image retrieval accuracy. Second, our model is trained end-to-end without pixel-level annotation other than positive and negative GPS-tagged image pairs. We use a weakly supervised triplet ranking loss to learn discriminative features and encourage keypoint feature repeatability for image representation. Finally, our method is computationally efficient as our architecture has shared features and parameters during computation. Our method can perform accurate large-scale localization under challenging conditions while remaining the computational constraint. Extensive experiment results indicate that our method sets a new state-of-the-art on four challenging large-scale localization benchmarks and three image retrieval benchmarks.",この作業では、視覚的なローカリゼーションのためのDenser Feature Network（DenserNet）を紹介します。私たちの仕事は3つの主要な貢献を提供します。まず、画像表現のさまざまなセマンティックレベルで特徴マップを集約する畳み込みニューラルネットワーク（CNN）アーキテクチャを開発します。より密度の高い特徴マップを使用することで、私たちの方法はより多くのキーポイント特徴を生成し、画像検索の精度を高めることができます。次に、モデルは、正と負のGPSタグ付き画像ペア以外のピクセルレベルの注釈なしでエンドツーエンドでトレーニングされます。弱教師ありトリプレットランキング損失を使用して、識別機能を学習し、画像表現のキーポイント機能の再現性を促進します。最後に、私たちのアーキテクチャは計算中に機能とパラメータを共有しているため、私たちの方法は計算効率が高いです。私たちの方法は、計算上の制約を残しながら、困難な条件下で正確な大規模なローカリゼーションを実行できます。広範な実験結果は、私たちの方法が4つの挑戦的な大規模ローカリゼーションベンチマークと3つの画像検索ベンチマークに新しい最先端を設定することを示しています。,https://d3i71xaburhd42.cloudfront.net/06f9e3ac57f4ffa3e50614c85599cf85b9695f84/1-Figure1-1.png
Weakly Supervised Temporal Action Localization through Learning Explicit Subspaces for Action and Context,"['Ziyi Liu', 'Le Wang', 'Wei Tang', 'Junsong Yuan', 'Nanning Zheng', 'Gang Hua']",,"Weakly-supervised Temporal Action Localization (WS-TAL) methods learn to localize temporal starts and ends of action instances in a video under only video-level supervision. Existing WS-TAL methods rely on deep features learned for action recognition. However, due to the mismatch between classification and localization, these features cannot distinguish the frequently co-occurring contextual background, i.e., the context, and the actual action instances. We term this challenge action-context confusion, and it will adversely affect the action localization accuracy. To address this challenge, we introduce a framework that learns two feature subspaces respectively for actions and their context. By explicitly accounting for action visual elements, the action instances can be localized more precisely without the distraction from the context. To facilitate the learning of these two feature subspaces with only video-level categorical labels, we leverage the predictions from both spatial and temporal streams for snippets grouping. In addition, an unsupervised learning task is introduced to make the proposed module focus on mining temporal information. The proposed approach outperforms state-of-the-art WS-TAL methods on three benchmarks, i.e., THUMOS14, ActivityNet v1.2 and v1.3 datasets.",弱教師あり時間アクションローカリゼーション（WS-TAL）メソッドは、ビデオレベルの教師のみの下で、ビデオ内のアクションインスタンスの時間的開始と終了をローカライズすることを学習します。既存のWS-TALメソッドは、アクション認識のために学習された深い機能に依存しています。ただし、分類とローカリゼーションの不一致により、これらの機能では、頻繁に発生するコンテキストの背景、つまりコンテキストと実際のアクションインスタンスを区別できません。このチャレンジをアクション-コンテキストの混乱と呼び、アクションのローカリゼーションの精度に悪影響を及ぼします。この課題に対処するために、アクションとそのコンテキストについてそれぞれ2つの機能サブスペースを学習するフレームワークを導入します。アクションの視覚的要素を明示的に考慮することにより、コンテキストから気を散らすことなく、アクションインスタンスをより正確にローカライズできます。ビデオレベルのカテゴリラベルのみを使用してこれら2つの特徴部分空間の学習を容易にするために、スニペットのグループ化に空間ストリームと時間ストリームの両方からの予測を活用します。さらに、教師なし学習タスクが導入され、提案されたモジュールが時間情報のマイニングに焦点を合わせます。提案されたアプローチは、3つのベンチマーク、つまりTHUMOS14、ActivityNet v1.2、およびv1.3データセットで最先端のWS-TALメソッドよりも優れています。,https://d3i71xaburhd42.cloudfront.net/7f0971db4836c49788a440ca7e1fd96f630cc807/2-Figure1-1.png
Aggregating Binary Judgments Ranked by Accuracy,"['Daniel Halpern', 'Gregory Kehne', 'Dominik Peters', 'Ariel D Procaccia', 'Nisarg Shah', 'Piotr Skowron']",,"We revisit the fundamental problem of predicting a binary ground truth based on independent binary judgments provided by experts. When the accuracy levels of the experts are known, the problem can be solved easily through maximum likelihood estimation. We consider, however, a setting in which we are given only a ranking of the experts by their accuracy. Motivated by the worst-case approach to handle the missing information, we consider three objective functions and design efficient algorithms for optimizing them. In particular, the recently popular distortion objective leads to an intuitive new rule. We show that our algorithms perform well empirically using real and synthetic data in collaborative filtering and political prediction domains.",専門家によって提供された独立したバイナリ判断に基づいてバイナリグラウンドトゥルースを予測するという根本的な問題を再検討します。専門家の精度レベルがわかっている場合、最尤推定によって問題を簡単に解決できます。ただし、専門家の正確さによるランキングのみが与えられる設定を検討します。欠落している情報を処理するための最悪の場合のアプローチに動機付けられて、3つの目的関数を検討し、それらを最適化するための効率的なアルゴリズムを設計します。特に、最近人気のある歪みの目的は、直感的な新しいルールにつながります。協調フィルタリングおよび政治的予測ドメインで実際のデータと合成データを使用して、アルゴリズムが経験的にうまく機能することを示します。,https://d3i71xaburhd42.cloudfront.net/776555716806327ebc9ff1460ef612a5cd7f4ead/11-Table1-1.png
Intrinsic Certified Robustness of Bagging against Data Poisoning Attacks,"['Jinyuan Jia', 'Xiaoyu Cao', 'Neil Zhenqiang Gong']",https://arxiv.org/abs/2008.04495,"In a \emph{data poisoning attack}, an attacker modifies, deletes, and/or inserts some training examples to corrupt the learnt machine learning model. \emph{Bootstrap Aggregating (bagging)} is a well-known ensemble learning method, which trains multiple base models on random subsamples of a training dataset using a base learning algorithm and uses majority vote to predict labels of testing examples. We prove the intrinsic certified robustness of bagging against data poisoning attacks. Specifically, we show that bagging with an arbitrary base learning algorithm provably predicts the same label for a testing example when the number of modified, deleted, and/or inserted training examples is bounded by a threshold. Moreover, we show that our derived threshold is tight if no assumptions on the base learning algorithm are made. We evaluate our method on MNIST and CIFAR10. For instance, our method achieves a certified accuracy of $91.1\%$ on MNIST when arbitrarily modifying, deleting, and/or inserting 100 training examples.",データポイズニング攻撃では、攻撃者はいくつかのトレーニング例を変更、削除、および/または挿入して、学習した機械学習モデルを破壊します。 Bootstrap Aggregating（bagging）は、よく知られたアンサンブル学習方法であり、基本学習アルゴリズムを使用してトレーニングデータセットのランダムなサブサンプルで複数の基本モデルをトレーニングし、多数決を使用してテスト例のラベルを予測します。データポイズニング攻撃に対するバギングの本質的な認定された堅牢性を証明します。具体的には、任意の基本学習アルゴリズムを使用したバギングは、変更、削除、および/または挿入されたトレーニング例の数がしきい値によって制限されている場合に、テスト例の同じラベルを確実に予測することを示します。さらに、基本学習アルゴリズムに関する仮定が行われない場合、導出されたしきい値がタイトであることを示します。 MNISTとCIFAR10でメソッドを評価します。たとえば、私たちの方法は、100のトレーニング例を任意に変更、削除、および/または挿入すると、MNISTで91.1％の認定精度を達成します。,https://d3i71xaburhd42.cloudfront.net/5d15dfc3be39915a03c8d50172694613929144cf/2-Figure1-1.png
Exact Reduction of Huge Action Spaces in General Reinforcement Learning,"['Sultan Javed Majeed', 'Marcus Hutter']",https://arxiv.org/abs/2012.10200,"e reinforcement learning (RL) framework formalizes the notion of learning with interactions. Many real-world problems have large state-spaces and/or action-spaces such as in Go, StarCra, protein folding, and robotics or are non-Markovian, which cause significant challenges to RL algorithms. In this work we address the large action-space problem by sequentializing actions, which can reduce the action-space size significantly, even down to two actions at the expense of an increased planning horizon. We provide explicit and exact constructions and equivalence proofs for all quantities of interest for arbitrary history-based processes. In the case of MDPs, this could help RL algorithms that bootstrap. In this work we show how action-binarization in the non-MDP case can significantly improve Extreme State Aggregation (ESA) bounds. ESA allows casting any (nonMDP, non-ergodic, history-based) RL problem into a fixed-sized non-Markovian statespace with the help of a surrogate Markovian process. On the upside, ESA enjoys similar optimality guarantees as Markovian models do. But a downside is that the size of the aggregated state-space becomes exponential in the size of the action-space. In this work, we patch this issue by binarizing the action-space. We provide an upper bound on the number of states of this binarized ESA that is logarithmic in the original action-space size, a double-exponential improvement.",強化学習（RL）フレームワークは、相互作用を伴う学習の概念を形式化します。多くの現実世界の問題は、Go、StarCra、タンパク質フォールディング、ロボット工学などの大きな状態空間やアクション空間を持っているか、非マルコフであるため、RLアルゴリズムに重大な課題を引き起こします。この作業では、アクションをシーケンシャル化することで大きなアクションスペースの問題に対処します。これにより、計画期間が長くなる代わりに、アクションスペースのサイズを2つのアクションにまで大幅に削減できます。私たちは、任意の履歴ベースのプロセスの関心のあるすべての量に対して、明示的で正確な構造と同等性の証明を提供します。 MDPの場合、これはブートストラップするRLアルゴリズムに役立つ可能性があります。この作業では、非MDPの場合のアクションの2値化によって、Extreme State Aggregation（ESA）の範囲が大幅に改善されることを示します。 ESAを使用すると、代理マルコフプロセスを使用して、任意の（非MDP、非エルゴード、履歴ベースの）RL問題を固定サイズの非マルコフ状態空間にキャストできます。利点として、ESAはマルコフモデルと同様の最適性保証を享受しています。ただし、欠点は、集約された状態空間のサイズがアクション空間のサイズで指数関数的になることです。この作業では、アクションスペースを2値化することにより、この問題にパッチを適用します。この2値化されたESAの状態数の上限を提供します。これは、元のアクション空間サイズで対数であり、二重指数関数的な改善です。,https://d3i71xaburhd42.cloudfront.net/8769e44ab5d1c04435f895e9c97b4bcf752bb913/2-Figure1-1.png
Exploring Auxiliary Reasoning Tasks for Task-Oriented Dialog Systems with Meta Cooperative Learning,"['Bowen Qin', 'Min Yang', 'Bing Lidong', 'Qingshan Jiang', 'Chengming Li', 'Ruifeng Xu']",,,,
Hierarchical Macro Discourse Parsing Based on Topic Segmentation,"['Feng Jiang', 'Yaxin Fan', 'Xiaomin Chu', 'Li Peifeng', 'Zhu Qiaoming', 'Fang Kong']",,,,
Depth Privileged Object Detection in Indoor Scenes via Deformation Hallucination,"['Zhijie Zhang', 'Yan Liu', 'Junjie Chen', 'Li Niu', 'Liqing Zhang']",,,,
Uncertain Graph Neural Networks for Facial Action Unit Detection,"['Tengfei Song', 'Lisha Chen', 'Wenming Zheng', 'Qiang Ji']",,,,
Multiple Kernel Clustering with Kernel k-Means Coupled Graph Tensor Learning,"['Zhenwen Ren', 'Quansen Sun', 'Dong Wei']",,,,
Less Than One'-Shot Learning: Learning N Classes from M < N Samples,"['Ilia Sucholutsky', 'Matthias Schonlau']",,,,
Taxonomy Completion via Triplet Matching Network,"['Jieyu Zhang', 'Xiangchen Song', 'Ying Zeng', 'Jiaze Chen', 'Jiaming Shen', 'Yuning Mao', 'Lei Li']",https://arxiv.org/abs/2101.01896,"Automatically constructing taxonomy finds many applications in e-commerce and web search. One critical challenge is as data and business scope grow in real applications, new concepts are emerging and needed to be added to the existing taxonomy. Previous approaches focus on the taxonomy expansion, i.e. finding an appropriate hypernym concept from the taxonomy for a new query concept. In this paper, we formulate a new task, “taxonomy completion”, by discovering both the hypernym and hyponym concepts for a query. We propose Triplet Matching Network (TMN), to find the appropriate 〈hypernym, hyponym〉 pairs for a given query concept. TMN consists of one primal scorer and multiple auxiliary scorers. These auxiliary scorers capture various fine-grained signals (e.g., query to hypernym or query to hyponym semantics), and the primal scorer makes a holistic prediction on 〈query, hypernym, hyponym〉 triplet based on the internal feature representations of all auxiliary scorers. Also, an innovative channel-wise gating mechanism that retains task-specific information in concept representations is introduced to further boost model performance. Experiments on four real-world large-scale datasets show that TMN achieves the best performance on both taxonomy completion task and the previous taxonomy expansion task, outperforming existing methods. Introduction Taxonomies, formulated as directed acyclic graphs or trees, have been widely used to organize knowledge in various domains, such as news domain (Vrandecic 2012; Mao et al. 2019), scientific domain (Lipscomb 2000; Sinha et al. 2015; Shen et al. 2018c) and online commerce (Karamanolakis, Ma, and Dong 2020; Mao et al. 2020). Equipped with these curated taxonomies, researchers are able to boost the performance of numerous downstream applications such as query understanding (Hua et al. 2017; Yang, Zhang, and Han 2020), content browsing (Yang 2012), personalized recommendation (Zhang et al. 2014; Huang et al. 2019), and web search (Wu et al. 2012; Liu et al. 2019). As human knowledge is constantly growing and new concepts emerge everyday, it is needed to dynamically complete an existing taxonomy. Figure 1 shows an illustrative example where a taxonomy of “Electronic Device” is completed to Copyright © 2021, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved. *This work is done while interning at ByteDance AI Lab. Existing Taxonomy New Concepts SSD Memory CPU Keyboard Smart Phone",分類法を自動的に構築すると、eコマースやWeb検索で多くのアプリケーションが見つかります。重要な課題の1つは、実際のアプリケーションでデータとビジネススコープが拡大するにつれて、新しい概念が出現し、既存の分類法に追加する必要があることです。以前のアプローチは、分類法の拡張に焦点を当てています。つまり、新しいクエリ概念の分類法から適切な上位概念を見つけることです。このホワイトペーパーでは、クエリの上位概念と下位概念の両方を発見することにより、新しいタスクである分類法の完了を定式化します。トリプレットマッチングネットワーク（TMN）を提案して、特定のクエリ概念に適した上位概念と下位概念のペアを見つけます。 TMNは、1つのプライマリスコアラーと複数の補助スコアラーで構成されます。これらの補助スコアラーは、さまざまなきめ細かい信号（たとえば、上位概念へのクエリまたは下位概念へのクエリ）をキャプチャし、主要スコアラーは、すべての補助スコアラーの内部機能表現に基づいて、クエリ、上位概念、下位概念のトリプレットに関する全体的な予測を行います。また、コンセプト表現でタスク固有の情報を保持する革新的なチャネルごとのゲーティングメカニズムが導入され、モデルのパフォーマンスがさらに向上します。 4つの実世界の大規模データセットでの実験は、TMNが分類完了タスクと前の分類拡張タスクの両方で最高のパフォーマンスを達成し、既存の方法を上回っていることを示しています。はじめに有向非巡回グラフまたはツリーとして定式化された分類法は、ニュースドメイン（Vrandecic 2012; Mao etal。2019）、科学ドメイン（Lipscomb 2000; Sinhaetal。2015; Shen）などのさまざまなドメインで知識を整理するために広く使用されています。 et al.2018c）およびオンラインコマース（Karamanolakis、Ma、and Dong 2020; Mao et al.2020）。これらの厳選された分類法を備えた研究者は、クエリの理解（Huaetal。2017; Yang、Zhang、and Han 2020）、コンテンツの閲覧（Yang 2012）、パーソナライズされた推奨（Zhang et al。）など、多数のダウンストリームアプリケーションのパフォーマンスを向上させることができます。 .2014; Huang etal。2019）、およびWeb検索（Wuetal。2012; Liu etal。2019）。人間の知識は絶えず成長し、新しい概念が毎日出現するため、既存の分類法を動的に完了する必要があります。図1は、電子デバイスの分類法がCopyright 2021、Association for the Advancement of Artificial Intelligence（www.aaai.org）に準拠している例を示しています。全著作権所有。 *この作業は、ByteDance AILabでのインターン中に行われます。既存の分類法新しい概念SSDメモリCPUキーボードスマートフォン,https://d3i71xaburhd42.cloudfront.net/76be63767799fa50357fab6516b668960b67aa78/1-Figure1-1.png
Proxy Graph Matching with Proximal Matching Networks,"['Haoru Tan', 'Chuang Wang', 'Sitong Wu', 'Tie-Qiang Wang', 'Xu-Yao Zhang', 'Cheng-Lin Liu']",,,,
Self-Paced Two-Dimensional PCA,"['Jiangxin Li', 'Zhao Kang', 'Chong Peng', 'Wenyu Chen']",,,,
Group Testing on a Network,"['Arlei Lopes da Silva', 'Ambuj Singh']",,,,
Tri-Level Robust Clustering Ensemble with Multiple Graph Learning,"['Peng Zhou', 'Liang Du', 'Yi-Dong Shen', 'Xuejun Li']",,"Clustering ensemble generates a consensus clustering result by integrating multiple weak base clustering results. Although it often provides more robust results compared with single clustering methods, it still suffers from the robustness problem if it does not treat the unreliability of base results carefully. Conventional clustering ensemble methods often use all data for ensemble, while ignoring the noises or outliers on the data. Although some robust clustering ensemble methods are proposed, which extract the noises on the data, they still characterize the robustness in a single level, and thus they cannot comprehensively handle the complicated robustness problem. In this paper, to address this problem, we propose a novel Tri-level Robust Clustering Ensemble (TRCE) method by transforming the clustering ensemble problem to a multiple graph learning problem. Just as its name implies, the proposed method tackles robustness problem in three levels: base clustering level, graph level and instance level. By considering the robustness problem in a more comprehensive way, the proposed TRCE can achieve a more robust consensus clustering result. Experimental results on benchmark datasets also demonstrate it. Our method often outperforms other state-ofthe-art clustering ensemble methods. Even compared with the robust ensemble methods, ours also performs better.",クラスタリングアンサンブルは、複数の弱塩基クラスタリング結果を統合することにより、コンセンサスクラスタリング結果を生成します。多くの場合、単一のクラスタリング手法と比較してより堅牢な結果が得られますが、基本結果の信頼性の低さを注意深く処理しないと、堅牢性の問題が発生します。従来のクラスタリングアンサンブル手法では、データのノイズや外れ値を無視しながら、すべてのデータをアンサンブルに使用することがよくあります。データ上のノイズを抽出するいくつかのロバストクラスタリングアンサンブル法が提案されていますが、それでも単一レベルでロバスト性を特徴付けるため、複雑なロバスト性問題を包括的に処理することはできません。本論文では、この問題に対処するために、クラスタリングアンサンブル問題を複数グラフ学習問題に変換することにより、新しい3レベルロバストクラスタリングアンサンブル（TRCE）法を提案します。その名前が示すように、提案された方法は、ベースクラスタリングレベル、グラフレベル、およびインスタンスレベルの3つのレベルでロバスト性の問題に取り組みます。堅牢性の問題をより包括的な方法で検討することにより、提案されたTRCEは、より堅牢なコンセンサスクラスタリングの結果を達成できます。ベンチマークデータセットの実験結果もそれを示しています。私たちの方法は、他の最先端のクラスタリングアンサンブル方法よりも優れていることがよくあります。堅牢なアンサンブル手法と比較しても、パフォーマンスは優れています。,https://d3i71xaburhd42.cloudfront.net/661ffe3fcb3ca15e33b038841c4a3fb4d80a3ff1/2-Figure1-1.png
Expected Value of Communication for Planning in Ad Hoc Teamwork,"['William Macke', 'Reuth Mirsky', 'Peter Stone']",,"A desirable goal for autonomous agents is to be able to coordinate on the fly with previously unknown teammates. Known as “ad hoc teamwork”, enabling such a capability has been receiving increasing attention in the research community. One of the central challenges in ad hoc teamwork is quickly recognizing the current plans of other agents and planning accordingly. In this paper, we focus on the scenario in which teammates can communicate with one another, but only at a cost. Thus, they must carefully balance plan recognition based on observations vs. that based on communication. This paper proposes a new metric for evaluating how similar are two policies that a teammate may be following the Expected Divergence Point (EDP). We then present a novel planning algorithm for ad hoc teamwork, determining which query to ask and planning accordingly. We demonstrate the effectiveness of this algorithm in a range of increasingly general communication in ad hoc teamwork problems.",自律エージェントの望ましい目標は、これまで知られていなかったチームメイトとその場で調整できるようにすることです。アドホックチームワークとして知られるこのような機能を有効にすることは、研究コミュニティでますます注目を集めています。アドホックチームワークの中心的な課題の1つは、他のエージェントの現在の計画をすばやく認識し、それに応じて計画することです。このホワイトペーパーでは、チームメイトが相互に通信できるシナリオに焦点を当てますが、コストがかかります。したがって、観察に基づく計画認識とコミュニケーションに基づく計画認識のバランスを慎重にとる必要があります。このホワイトペーパーでは、チームメイトが期待される発散点（EDP）に従う可能性のある2つのポリシーがどの程度類似しているかを評価するための新しいメトリックを提案します。次に、アドホックチームワークのための新しい計画アルゴリズムを提示し、質問するクエリを決定し、それに応じて計画します。アドホックチームワークの問題におけるますます一般的なコミュニケーションの範囲で、このアルゴリズムの有効性を示します。,https://d3i71xaburhd42.cloudfront.net/347c796de71a86724354c751bd95f6df9eaa4d6d/3-Figure1-1.png
Bridging Towers of Multi-Task Learning with a Gating Mechanism for Aspect-Based Sentiment Analysis and Sequential Metaphor Identification,"['Rui Mao', 'Xiao Li']",,,,
Exploiting Sample Uncertainty for Domain Adaptive Person Re-Identification,"['Kecheng Zheng', 'Cuiling Lan', 'Wenjun Zeng', 'Zhizheng Zhang', 'Zheng-Jun Zha']",https://arxiv.org/abs/2012.08733,"Many unsupervised domain adaptive (UDA) person re-identification (ReID) approaches combine clustering-based pseudo-label prediction with feature fine-tuning. However, because of domain gap, the pseudo-labels are not always reliable and there are noisy/incorrect labels. This would mislead the feature representation learning and deteriorate the performance. In this paper, we propose to estimate and exploit the credibility of the assigned pseudo-label of each sample to alleviate the influence of noisy labels, by suppressing the contribution of noisy samples. We build our baseline framework using the mean teacher method together with an additional contrastive loss. We have observed that a sample with a wrong pseudo-label through clustering in general has a weaker consistency between the output of the mean teacher model and the student model. Based on this finding, we propose to exploit the uncertainty (measured by consistency levels) to evaluate the reliability of the pseudo-label of a sample and incorporate the uncertainty to re-weight its contribution within various ReID losses, including the identity (ID) classification loss per sample, the triplet loss, and the contrastive loss. Our uncertainty-guided optimization brings significant improvement and achieves the state-of-the-art performance on benchmark datasets.",多くの教師なしドメイン適応（UDA）個人再識別（ReID）アプローチは、クラスタリングベースの疑似ラベル予測と機能の微調整を組み合わせたものです。ただし、ドメインギャップのため、疑似ラベルは常に信頼できるとは限らず、ノイズの多い/正しくないラベルがあります。これは、特徴表現学習を誤解させ、パフォーマンスを低下させます。本論文では、各サンプルに割り当てられた疑似ラベルの信頼性を推定および活用して、ノイズの多いサンプルの寄与を抑制することにより、ノイズのあるラベルの影響を軽減することを提案します。私たちは、追加の対照的な損失とともに平均教師法を使用してベースラインフレームワークを構築します。一般に、クラスタリングによって誤った疑似ラベルを持つサンプルは、平均教師モデルと学生モデルの出力間の一貫性が弱いことがわかりました。この発見に基づいて、不確実性（一貫性レベルで測定）を利用してサンプルの疑似ラベルの信頼性を評価し、不確実性を組み込んで、アイデンティティ（ID）を含むさまざまなReID損失内でその寄与を再重み付けすることを提案します。サンプルごとの分類損失、トリプレット損失、および対照的な損失。当社の不確実性に基づく最適化は、大幅な改善をもたらし、ベンチマークデータセットで最先端のパフォーマンスを実現します。,https://d3i71xaburhd42.cloudfront.net/d477e72f93d8b895fd0ccc38f2a1cc04bf96e3f1/1-Figure1-1.png
Knowledge-Enhanced Hierarchical Graph Transformer Network for Multi-Behavior Recommendation,"['Lianghao Xia', 'Chao Huang', 'Yong Xu', 'Peng Dai', 'Xiyue Zhang', 'Hongsheng Yang', 'Jian Pei', 'Liefeng Bo']",,,,
Graph Game Embedding,"['Xiaobin Hong', 'Tong Zhang', 'Zhen Cui', 'Yuge Huang', 'Pengcheng Shen', 'Shaoxin Li', 'Jian Yang']",,,,
