title,authors,arxiv_url,abstract
Disentangle-based Continual Graph Representation Learning,"['Xiaoyu Kou', 'Yankai Lin', 'Shaobo Liu', 'Peng Li', 'Jie Zhou', 'Yan Zhang']",http://arxiv.org/abs/2010.02565v1,"Graph embedding (GE) methods embed nodes (and/or edges) in graph into a low-dimensional semantic space, and have shown its effectiveness in modeling multi-relational data. However, existing GE models are not practical in real-world applications since it overlooked the streaming nature of incoming data. To address this issue, we study the problem of continual graph representation learning which aims to continually train a GE model on new data to learn incessantly emerging multi-relational data while avoiding catastrophically forgetting old learned knowledge. Moreover, we propose a disentangle-based continual graph representation learning (DiCGRL) framework inspired by the human's ability to learn procedural knowledge. The experimental results show that DiCGRL could effectively alleviate the catastrophic forgetting problem and outperform state-of-the-art continual learning models. The code and datasets are released on https://github.com/KXY-PUBLIC/DiCGRL."
Dissecting Span Identification Tasks with Performance Prediction,"['Sean Papay', 'Roman Klinger', 'Sebastian Padó']",http://arxiv.org/abs/2010.02587v1,"Span identification (in short, span ID) tasks such as chunking, NER, or code-switching detection, ask models to identify and classify relevant spans in a text. Despite being a staple of NLP, and sharing a common structure, there is little insight on how these tasks' properties influence their difficulty, and thus little guidance on what model families work well on span ID tasks, and why. We analyze span ID tasks via performance prediction, estimating how well neural architectures do on different tasks. Our contributions are: (a) we identify key properties of span ID tasks that can inform performance prediction; (b) we carry out a large-scale experiment on English data, building a model to predict performance for unseen span ID tasks that can support architecture choices; (c), we investigate the parameters of the meta model, yielding new insights on how model and task properties interact to affect span ID performance. We find, e.g., that span frequency is especially important for LSTMs, and that CRFs help when spans are infrequent and boundaries non-distinctive."
Distilling Multiple Domains for Neural Machine Translation,"['Anna Currey', 'Prashant Mathur', 'Georgiana Dinu']",,
"Diverse, Controllable, and Keyphrase-Aware: A Corpus and Method for News Multi-Headline Generation","['Dayiheng Liu', 'Yeyun Gong', 'Yu Yan', 'Jie Fu', 'Bo Shao', 'Daxin Jiang', 'Jiancheng Lv', 'Nan Duan']",http://arxiv.org/abs/2004.03875v2,"News headline generation aims to produce a short sentence to attract readers to read the news. One news article often contains multiple keyphrases that are of interest to different users, which can naturally have multiple reasonable headlines. However, most existing methods focus on the single headline generation. In this paper, we propose generating multiple headlines with keyphrases of user interests, whose main idea is to generate multiple keyphrases of interest to users for the news first, and then generate multiple keyphrase-relevant headlines. We propose a multi-source Transformer decoder, which takes three sources as inputs: (a) keyphrase, (b) keyphrase-filtered article, and (c) original article to generate keyphrase-relevant, high-quality, and diverse headlines. Furthermore, we propose a simple and effective method to mine the keyphrases of interest in the news article and build a first large-scale keyphrase-aware news headline corpus, which contains over 180K aligned triples of $<$news article, headline, keyphrase$>$. Extensive experimental comparisons on the real-world dataset show that the proposed method achieves state-of-the-art results in terms of quality and diversity"
Diversiﬁed Multiple Instance Learning for Document-Level Multi-Aspect Sentiment Classiﬁcation,"['Yunjie Ji', 'Hao Liu', 'Bolei He', 'Xinyan Xiao', 'Hua Wu', 'Yanhua Yu']",,
Do “Undocumented Immigrants” == “Illegal Aliens”? Differentiating Denotation and Connotation in Vector Space,"['Albert Webson', 'Zhizhong Chen', 'Carsten Eickhoff', 'Ellie Pavlick']",,
Do sequence-to-sequence VAEs learn global features of sentences?,"['Tom Bosc', 'Pascal Vincent']",http://arxiv.org/abs/2004.07683v1,"A longstanding goal in NLP is to compute global sentence representations. Such representations would be useful for sample-efficient semi-supervised learning and controllable text generation. To learn to represent global and local information separately, Bowman & al. (2016) proposed to train a sequence-to-sequence model with the variational auto-encoder (VAE) objective. What precisely is encoded in these latent variables expected to capture global features? We measure which words benefit most from the latent information by decomposing the reconstruction loss per position in the sentence. Using this method, we see that VAEs are prone to memorizing the first words and the sentence length, drastically limiting their usefulness. To alleviate this, we propose variants based on bag-of-words assumptions and language model pretraining. These variants learn latents that are more global: they are more predictive of topic or sentiment labels, and their reconstructions are more faithful to the labels of the original documents."
doc2dial: A Goal-Oriented Document-Grounded Dialogue Dataset,"['Song Feng', 'Hui Wan', 'Chulaka Gunasekara', 'Siva Patel', 'Sachindra Joshi', 'Luis Lastras']",,
Does my multimodal model learn cross-modal interactions? It’s harder to tell than you might think!,"['Jack Hessel', 'Lillian Lee']",,
Domain Knowledge Empowered Structured Neural Net for End-to-End Event Temporal Relation Extraction,"['Rujun Han', 'Yichao Zhou', 'Nanyun Peng']",http://arxiv.org/abs/2009.07373v2,"Extracting event temporal relations is a critical task for information extraction and plays an important role in natural language understanding. Prior systems leverage deep learning and pre-trained language models to improve the performance of the task. However, these systems often suffer from two short-comings: 1) when performing maximum a posteriori (MAP) inference based on neural models, previous systems only used structured knowledge that are assumed to be absolutely correct, i.e., hard constraints; 2) biased predictions on dominant temporal relations when training with a limited amount of data. To address these issues, we propose a framework that enhances deep neural network with distributional constraints constructed by probabilistic domain knowledge. We solve the constrained inference problem via Lagrangian Relaxation and apply it on end-to-end event temporal relation extraction tasks. Experimental results show our framework is able to improve the baseline neural network models with strong statistical significance on two widely used datasets in news and clinical domains."
Don't Read Too Much Into It: Adaptive Computation for Open-Domain Question Answering,"['Yuxiang Wu', 'Sebastian Riedel', 'Pasquale Minervini', 'Pontus Stenetorp']",,
DORB: Dynamically Optimizing Multiple Rewards with Bandits,"['Ramakanth Pasunuru', 'Han Guo', 'Mohit Bansal']",,
Double Graph Based Reasoning for Document-level Relation Extraction,"['Shuang Zeng', 'Runxin Xu', 'Baobao Chang', 'Lei Li']",http://arxiv.org/abs/2009.13752v1,"Document-level relation extraction aims to extract relations among entities within a document. Different from sentence-level relation extraction, it requires reasoning over multiple sentences across a document. In this paper, we propose Graph Aggregation-and-Inference Network (GAIN) featuring double graphs. GAIN first constructs a heterogeneous mention-level graph (hMG) to model complex interaction among different mentions across the document. It also constructs an entity-level graph (EG), based on which we propose a novel path reasoning mechanism to infer relations between entities. Experiments on the public dataset, DocRED, show GAIN achieves a significant performance improvement (2.85 on F1) over the previous state-of-the-art. Our code is available at https://github.com/DreamInvoker/GAIN ."
DualTKB: A Dual Learning Bridge between Text and Knowledge Base,"['Pierre Dognin', 'Igor Melnyk', 'Inkit Padhi', 'Cícero Nogueira dos Santos', 'Payel Das']",,
DyERNIE: Dynamic Evolution of Riemannian Manifold Embeddings for Temporal Knowledge Graph Completion,"['Zhen Han', 'Peng Chen', 'Yunpu Ma', 'Volker Tresp']",,
Dynamic Anticipation and Completion for Multi-Hop Reasoning over Sparse Knowledge Graph,"['Xin Lv', 'Xu Han', 'Lei Hou', 'Juanzi Li', 'Zhiyuan Liu', 'Wei Zhang', 'YICHI ZHANG', 'Hao Kong', 'Suhui Wu']",http://arxiv.org/abs/2010.01899v1,"Multi-hop reasoning has been widely studied in recent years to seek an effective and interpretable method for knowledge graph (KG) completion. Most previous reasoning methods are designed for dense KGs with enough paths between entities, but cannot work well on those sparse KGs that only contain sparse paths for reasoning. On the one hand, sparse KGs contain less information, which makes it difficult for the model to choose correct paths. On the other hand, the lack of evidential paths to target entities also makes the reasoning process difficult. To solve these problems, we propose a multi-hop reasoning model named DacKGR over sparse KGs, by applying novel dynamic anticipation and completion strategies: (1) The anticipation strategy utilizes the latent prediction of embedding-based models to make our model perform more potential path search over sparse KGs. (2) Based on the anticipation information, the completion strategy dynamically adds edges as additional actions during the path search, which further alleviates the sparseness problem of KGs. The experimental results on five datasets sampled from Freebase, NELL and Wikidata show that our method outperforms state-of-the-art baselines. Our codes and datasets can be obtained from https://github.com/THU-KEG/DacKGR"
Dynamic Context Selection for Document-level Neural Machine Translation via Reinforcement Learning,"['Xiaomian Kang', 'Yang Zhao', 'Jiajun Zhang', 'Chengqing Zong']",,
Dynamic Data Selection and Weighting for Iterative Back-Translation,"['Zi-Yi Dou', 'Antonios Anastasopoulos', 'Graham Neubig']",http://arxiv.org/abs/2004.03672v2,"Back-translation has proven to be an effective method to utilize monolingual data in neural machine translation (NMT), and iteratively conducting back-translation can further improve the model performance. Selecting which monolingual data to back-translate is crucial, as we require that the resulting synthetic data are of high quality and reflect the target domain. To achieve these two goals, data selection and weighting strategies have been proposed, with a common practice being to select samples close to the target domain but also dissimilar to the average general-domain text. In this paper, we provide insights into this commonly used approach and generalize it to a dynamic curriculum learning strategy, which is applied to iterative back-translation models. In addition, we propose weighting strategies based on both the current quality of the sentence and its improvement over the previous iteration. We evaluate our models on domain adaptation, low-resource, and high-resource MT settings and on two language pairs. Experimental results demonstrate that our methods achieve improvements of up to 1.8 BLEU points over competitive baselines."
Effective Unsupervised Domain Adaptation with Adversarially Trained Language Models,"['Thuy-Trang Vu', 'Dinh Phung', 'Gholamreza Haffari']",http://arxiv.org/abs/2010.01739v1,"Recent work has shown the importance of adaptation of broad-coverage contextualised embedding models on the domain of the target task of interest. Current self-supervised adaptation methods are simplistic, as the training signal comes from a small percentage of \emph{randomly} masked-out tokens. In this paper, we show that careful masking strategies can bridge the knowledge gap of masked language models (MLMs) about the domains more effectively by allocating self-supervision where it is needed. Furthermore, we propose an effective training strategy by adversarially masking out those tokens which are harder to reconstruct by the underlying MLM. The adversarial objective leads to a challenging combinatorial optimisation problem over \emph{subsets} of tokens, which we tackle efficiently through relaxation to a variational lowerbound and dynamic programming. On six unsupervised domain adaptation tasks involving named entity recognition, our method strongly outperforms the random masking strategy and achieves up to +1.64 F1 score improvements."
Efficient Meta Lifelong-Learning with Limited Memory,"['Zirui Wang', 'Sanket Vaibhav Mehta', 'Barnabas Poczos', 'Jaime Carbonell']",http://arxiv.org/abs/2010.02500v1,"Current natural language processing models work well on a single task, yet they often fail to continuously learn new tasks without forgetting previous ones as they are re-trained throughout their lifetime, a challenge known as lifelong learning. State-of-the-art lifelong language learning methods store past examples in episodic memory and replay them at both training and inference time. However, as we show later in our experiments, there are three significant impediments: (1) needing unrealistically large memory module to achieve good performance, (2) suffering from negative transfer, (3) requiring multiple local adaptation steps for each test example that significantly slows down the inference speed. In this paper, we identify three common principles of lifelong learning methods and propose an efficient meta-lifelong framework that combines them in a synergistic fashion. To achieve sample efficiency, our method trains the model in a manner that it learns a better initialization for local adaptation. Extensive experiments on text classification and question answering benchmarks demonstrate the effectiveness of our framework by achieving state-of-the-art performance using merely 1% memory size and narrowing the gap with multi-task learning. We further show that our method alleviates both catastrophic forgetting and negative transfer at the same time."
Eliciting Knowledge from Language Models Using Automatically Generated Prompts,"['Taylor Shin', 'Yasaman Razeghi', 'Robert L Logan IV', 'Eric Wallace', 'Sameer Singh']",,
Embedding Words in Non-Vector Space with Unsupervised Graph Learning,"['Maksim Riabinin', 'Sergei Popov', 'Liudmila Prokhorenkova', 'Elena Voita']",,
Enabling Cross-Lingual AMR Parsing with Transfer Learning Techniques,"['Rexhina Blloshmi', 'Rocco Tripodi', 'Roberto Navigli']",,
End-to-End Emotion-Cause Pair Extraction based on Sliding Window Multi-Label Learning,"['Zixiang Ding', 'Rui Xia', 'Jianfei Yu']",,
End-to-End Slot Alignment and Recognition for Cross-Lingual {NLU},"['Weijia Xu', 'Batool Haider', 'Saab Mansour']",,
End-to-End Synthetic Data Generation for Domain Adaptation of Question Answering Systems,"['Siamak Shakeri', 'Cícero Nogueira dos Santos', 'Henghui Zhu', 'Patrick Ng', 'Feng Nan', 'Zhiguo Wang', 'Ramesh Nallapati', 'Bing Xiang']",,
Enhancing Aspect Term Extraction with Soft Prototypes,"['Zhuang Chen', 'Tieyun Qian']",,
"Ensemble Distillation for Structured Prediction: Calibrated, Accurate, Fast—Choose Three","['Steven Reich', 'David Mueller', 'Nicholas Andrews']",,
Entities as Experts: Sparse Memory Access with Entity Supervision,"['Thibault Févry', 'Livio Baldini Soares', 'Nicholas FitzGerald', 'Eunsol Choi', 'Tom Kwiatkowski']",http://arxiv.org/abs/2004.07202v2,"We focus on the problem of capturing declarative knowledge about entities in the learned parameters of a language model. We introduce a new model - Entities as Experts (EAE) - that can access distinct memories of the entities mentioned in a piece of text. Unlike previous efforts to integrate entity knowledge into sequence models, EAE's entity representations are learned directly from text. We show that EAE's learned representations capture sufficient knowledge to answer TriviaQA questions such as ""Which Dr. Who villain has been played by Roger Delgado, Anthony Ainley, Eric Roberts?"", outperforming an encoder-generator Transformer model with 10x the parameters. According to the LAMA knowledge probes, EAE contains more factual knowledge than a similarly sized BERT, as well as previous approaches that integrate external sources of entity knowledge. Because EAE associates parameters with specific entities, it only needs to access a fraction of its parameters at inference time, and we show that the correct identification and representation of entities is essential to EAE's performance."
Entity Enhanced BERT Pre-training for Chinese NER,"['Chen Jia', 'Yuefeng Shi', 'Qinrong Yang', 'Yue Zhang']",,
Entity Linking in 100 Languages,"['Jan A. Botha', 'Zifei Shan', 'Daniel Gillick']",,
ETC: Encoding Long and Structured Inputs in Transformers,"['Joshua Ainslie', 'Santiago Ontanon', 'Chris Alberti', 'Vaclav Cvicek', 'Zachary Fisher', 'Philip Pham', 'Anirudh Ravula', 'Sumit Sanghai', 'Qifan Wang', 'Li Yang']",http://arxiv.org/abs/2004.08483v4,"Transformer models have advanced the state of the art in many Natural Language Processing (NLP) tasks. In this paper, we present a new Transformer architecture, Extended Transformer Construction (ETC), that addresses two key challenges of standard Transformer architectures, namely scaling input length and encoding structured inputs. To scale attention to longer inputs, we introduce a novel global-local attention mechanism between global tokens and regular input tokens. We also show that combining global-local attention with relative position encodings and a Contrastive Predictive Coding (CPC) pre-training objective allows ETC to encode structured inputs. We achieve state-of-the-art results on four natural language datasets requiring long and/or structured inputs."
Evaluating and Characterizing Human Rationales,"['Samuel Carton', 'Anirudh Rathore', 'Chenhao Tan']",,
Evaluating the Calibration of Knowledge Graph Embeddings for Trustworthy Link Prediction,"['Tara Safavi', 'Danai Koutra', 'Edgar Meij']",http://arxiv.org/abs/2004.01168v3,"Little is known about the trustworthiness of predictions made by knowledge graph embedding (KGE) models. In this paper we take initial steps toward this direction by investigating the calibration of KGE models, or the extent to which they output confidence scores that reflect the expected correctness of predicted knowledge graph triples. We first conduct an evaluation under the standard closed-world assumption (CWA), in which predicted triples not already in the knowledge graph are considered false, and show that existing calibration techniques are effective for KGE under this common but narrow assumption. Next, we introduce the more realistic but challenging open-world assumption (OWA), in which unobserved predictions are not considered true or false until ground-truth labels are obtained. Here, we show that existing calibration techniques are much less effective under the OWA than the CWA, and provide explanations for this discrepancy. Finally, to motivate the utility of calibration for KGE from a practitioner's perspective, we conduct a unique case study of human-AI collaboration, showing that calibrated predictions can improve human performance in a knowledge graph completion task."
Evaluating the Factual Consistency of Abstractive Text Summarization,"['Wojciech Kryscinski', 'Bryan McCann', 'Caiming Xiong', 'Richard Socher']",,
Event Extraction as Machine Reading Comprehension,"['Jian Liu', 'Yubo Chen', 'Kang Liu', 'Wei Bi', 'Xiaojiang Liu']",,
Event Extraction by Answering (Almost) Natural Questions,"['Xinya Du', 'Claire Cardie']",http://arxiv.org/abs/2004.13625v1,"The problem of event extraction requires detecting the event trigger and extracting its corresponding arguments. Existing work in event argument extraction typically relies heavily on entity recognition as a preprocessing/concurrent step, causing the well-known problem of error propagation. To avoid this issue, we introduce a new paradigm for event extraction by formulating it as a question answering (QA) task, which extracts the event arguments in an end-to-end manner. Empirical results demonstrate that our framework outperforms prior methods substantially; in addition, it is capable of extracting event arguments for roles not seen at training time (zero-shot learning setting)."
EXAMS: A Multi-subject High School Examinations Dataset for Cross-lingual and Multilingual Question Answering,"['Momchil Hardalov', 'Todor Mihaylov', 'Dimitrina Zlatkova', 'Yoan Dinkov', 'Ivan Koychev', 'Preslav Nakov']",,
Experience Grounds Language,"['Yonatan Bisk', 'Ari Holtzman', 'Jesse Thomason', 'Jacob Andreas', 'Yoshua Bengio', 'Joyce Chai', 'Mirella Lapata', 'Angeliki Lazaridou', 'Jonathan May', 'Aleksandr Nisnevich', 'Nicolas Pinto', 'Joseph Turian']",http://arxiv.org/abs/2004.10151v2,"Language understanding research is held back by a failure to relate language to the physical world it describes and to the social interactions it facilitates. Despite the incredible effectiveness of language processing models to tackle tasks after being trained on text alone, successful linguistic communication relies on a shared experience of the world. It is this shared experience that makes utterances meaningful. Natural language processing is a diverse field, and progress throughout its development has come from new representational theories, modeling techniques, data collection paradigms, and tasks. We posit that the present success of representation learning approaches trained on large, text-only corpora requires the parallel tradition of research on the broader physical and social context of language to address the deeper questions of communication."
Explainable Automated Fact-Checking for Public Health Claims,"['Neema Kotonya', 'Francesca Toni']",,
Explainable Clinical Decision Support from Text,"['Jinyue Feng', 'Chantal Shaib', 'Frank Rudzicz']",,
Exploiting Structured Knowledge in Text via Graph-Guided Representation Learning,"['Tao Shen', 'Yi Mao', 'Pengcheng He', 'Guodong Long', 'Adam Trischler', 'Weizhu Chen']",http://arxiv.org/abs/2004.14224v1,"In this work, we aim at equipping pre-trained language models with structured knowledge. We present two self-supervised tasks learning over raw text with the guidance from knowledge graphs. Building upon entity-level masked language models, our first contribution is an entity masking scheme that exploits relational knowledge underlying the text. This is fulfilled by using a linked knowledge graph to select informative entities and then masking their mentions. In addition we use knowledge graphs to obtain distractors for the masked entities, and propose a novel distractor-suppressed ranking objective which is optimized jointly with masked language model. In contrast to existing paradigms, our approach uses knowledge graphs implicitly, only during pre-training, to inject language models with structured knowledge via learning from raw text. It is more efficient than retrieval-based methods that perform entity linking and integration during finetuning and inference, and generalizes more effectively than the methods that directly learn from concatenated graph triples. Experiments show that our proposed model achieves improved performance on five benchmark datasets, including question answering and knowledge base completion tasks."
"Exploring and Evaluating Attributes, Values, and Structure for Entity Alignment","['Zhiyuan Liu', 'Yixin Cao', 'Liangming Pan', 'Juanzi Li', 'Zhiyuan Liu', 'Tat-Seng Chua']",http://arxiv.org/abs/2010.03249v1,"Entity alignment (EA) aims at building a unified Knowledge Graph (KG) of rich content by linking the equivalent entities from various KGs. GNN-based EA methods present promising performances by modeling the KG structure defined by relation triples. However, attribute triples can also provide crucial alignment signal but have not been well explored yet. In this paper, we propose to utilize an attributed value encoder and partition the KG into subgraphs to model the various types of attribute triples efficiently. Besides, the performances of current EA methods are overestimated because of the name-bias of existing EA datasets. To make an objective evaluation, we propose a hard experimental setting where we select equivalent entity pairs with very different names as the test set. Under both the regular and hard settings, our method achieves significant improvements ($5.10\%$ on average Hits@$1$ in DBP$15$k) over $12$ baselines in cross-lingual and monolingual datasets. Ablation studies on different subgraphs and a case study about attribute types further demonstrate the effectiveness of our method. Source code and data can be found at https://github.com/thunlp/explore-and-evaluate."
Exploring and Predicting Transferability across NLP Tasks,"['Tu Vu', 'Tong Wang', 'Tsendsuren Munkhdalai', 'Alessandro Sordoni', 'Adam Trischler', 'Andrew Mattarella-Micke', 'Subhransu Maji', 'Mohit Iyyer']",http://arxiv.org/abs/2005.00770v2,"Recent advances in NLP demonstrate the effectiveness of training large-scale language models and transferring them to downstream tasks. Can fine-tuning these models on tasks other than language modeling further improve performance? In this paper, we conduct an extensive study of the transferability between 33 NLP tasks across three broad classes of problems (text classification, question answering, and sequence labeling). Our results show that transfer learning is more beneficial than previously thought, especially when target task data is scarce, and can improve performance even when the source task is small or differs substantially from the target task (e.g., part-of-speech tagging transfers well to the DROP QA dataset). We also develop task embeddings that can be used to predict the most transferable source tasks for a given target task, and we validate their effectiveness in experiments controlled for source and target data size. Overall, our experiments reveal that factors such as source data size, task and domain similarity, and task complexity all play a role in determining transferability."
Exploring Semantic Capacity of Terms,"['Jie Huang', 'Zilong Wang', 'Kevin Chang', 'Wen-mei Hwu', 'JinJun Xiong']",http://arxiv.org/abs/2010.01898v1,"We introduce and study semantic capacity of terms. For example, the semantic capacity of artificial intelligence is higher than that of linear regression since artificial intelligence possesses a broader meaning scope. Understanding semantic capacity of terms will help many downstream tasks in natural language processing. For this purpose, we propose a two-step model to investigate semantic capacity of terms, which takes a large text corpus as input and can evaluate semantic capacity of terms if the text corpus can provide enough co-occurrence information of terms. Extensive experiments in three fields demonstrate the effectiveness and rationality of our model compared with well-designed baselines and human-level evaluations."
Exploring the Linear Subspace Hypothesis in Gender Bias Mitigation,"['Francisco Vargas', 'Ryan Cotterell']",http://arxiv.org/abs/2009.09435v2,"Bolukbasi et al. (2016) presents one of the first gender bias mitigation techniques for word embeddings. Their method takes pre-trained word embeddings as input and attempts to isolate a linear subspace that captures most of the gender bias in the embeddings. As judged by an analogical evaluation task, their method virtually eliminates gender bias in the embeddings. However, an implicit and untested assumption of their method is that the bias sub-space is actually linear. In this work, we generalize their method to a kernelized, non-linear version. We take inspiration from kernel principal component analysis and derive a non-linear bias isolation technique. We discuss and overcome some of the practical drawbacks of our method for non-linear gender bias mitigation in word embeddings and analyze empirically whether the bias subspace is actually linear. Our analysis shows that gender bias is in fact well captured by a linear subspace, justifying the assumption of Bolukbasi et al. (2016)."
Extracting Implicitly Asserted Propositions in Argumentation,"['Yohan Jo', 'Jacky Visser', 'Chris Reed', 'Eduard Hovy']",http://arxiv.org/abs/2010.02654v1,"Argumentation accommodates various rhetorical devices, such as questions, reported speech, and imperatives. These rhetorical tools usually assert argumentatively relevant propositions rather implicitly, so understanding their true meaning is key to understanding certain arguments properly. However, most argument mining systems and computational linguistics research have paid little attention to implicitly asserted propositions in argumentation. In this paper, we examine a wide range of computational methods for extracting propositions that are implicitly asserted in questions, reported speech, and imperatives in argumentation. By evaluating the models on a corpus of 2016 U.S. presidential debates and online commentary, we demonstrate the effectiveness and limitations of the computational models. Our study may inform future research on argument mining and the semantics of these rhetorical devices in argumentation."
F^2-Softmax: Diversifying Neural Text Generation via Frequency Factorized Softmax,"['Byung-Ju Choi', 'Jimin Hong', 'David Park', 'Sang Wan Lee']",http://arxiv.org/abs/2009.09417v2,"Despite recent advances in neural text generation, encoding the rich diversity in human language remains elusive. We argue that the sub-optimal text generation is mainly attributable to the imbalanced token distribution, which particularly misdirects the learning model when trained with the maximum-likelihood objective. As a simple yet effective remedy, we propose two novel methods, F^2-Softmax and MefMax, for a balanced training even with the skewed frequency distribution. MefMax assigns tokens uniquely to frequency classes, trying to group tokens with similar frequencies and equalize frequency mass between the classes. F^2-Softmax then decomposes a probability distribution of the target token into a product of two conditional probabilities of (i) frequency class, and (ii) token from the target frequency class. Models learn more uniform probability distributions because they are confined to subsets of vocabularies. Significant performance gains on seven relevant metrics suggest the supremacy of our approach in improving not only the diversity but also the quality of generated texts."
F1 is Not Enough! Models and Evaluation Towards User-Centered Explainable Question Answering,"['Hendrik Schuff', 'Heike Adel', 'Ngoc Thang Vu']",,
Facilitating the Communication of Politeness through Fine-Grained Paraphrasing,"['Liye Fu', 'Susan Fussell', 'Cristian Danescu-Niculescu-Mizil']",,
Fact or Fiction: Verifying Scientific Claims,"['David Wadden', 'Shanchuan Lin', 'Kyle Lo', 'Lucy Lu Wang', 'Madeleine van Zuylen', 'Arman Cohan', 'Hannaneh Hajishirzi']",http://arxiv.org/abs/2004.14974v6,"We introduce scientific claim verification, a new task to select abstracts from the research literature containing evidence that SUPPORTS or REFUTES a given scientific claim, and to identify rationales justifying each decision. To study this task, we construct SciFact, a dataset of 1.4K expert-written scientific claims paired with evidence-containing abstracts annotated with labels and rationales. We develop baseline models for SciFact, and demonstrate that simple domain adaptation techniques substantially improve performance compared to models trained on Wikipedia or political news. We show that our system is able to verify claims related to COVID-19 by identifying evidence from the CORD-19 corpus. Our experiments indicate that SciFact will provide a challenging testbed for the development of new systems designed to retrieve and reason over corpora containing specialized domain knowledge. Data and code for this new task are publicly available at https://github.com/allenai/scifact. A leaderboard and COVID-19 fact-checking demo are available at https://scifact.apps.allenai.org."
Fast semantic parsing with well-typedness guarantees,"['Matthias Lindemann', 'Jonas Groschwitz', 'Alexander Koller']",http://arxiv.org/abs/2009.07365v2,"AM dependency parsing is a linguistically principled method for neural semantic parsing with high accuracy across multiple graphbanks. It relies on a type system that models semantic valency but makes existing parsers slow. We describe an A* parser and a transition-based parser for AM dependency parsing which guarantee well-typedness and improve parsing speed by up to 3 orders of magnitude, while maintaining or improving accuracy."
Feature Adaptation of Pre-Trained Language Models across Languages and Domains with Robust Self-Training,"['Hai Ye', 'Qingyu Tan', 'Ruidan He', 'Juntao Li', 'Hwee Tou Ng', 'Lidong Bing']",http://arxiv.org/abs/2009.11538v2,"Adapting pre-trained language models (PrLMs) (e.g., BERT) to new domains has gained much attention recently. Instead of fine-tuning PrLMs as done in most previous work, we investigate how to adapt the features of PrLMs to new domains without fine-tuning. We explore unsupervised domain adaptation (UDA) in this paper. With the features from PrLMs, we adapt the models trained with labeled data from the source domain to the unlabeled target domain. Self-training is widely used for UDA which predicts pseudo labels on the target domain data for training. However, the predicted pseudo labels inevitably include noise, which will negatively affect training a robust model. To improve the robustness of self-training, in this paper we present class-aware feature self-distillation (CFd) to learn discriminative features from PrLMs, in which PrLM features are self-distilled into a feature adaptation module and the features from the same class are more tightly clustered. We further extend CFd to a cross-language setting, in which language discrepancy is studied. Experiments on two monolingual and multilingual Amazon review datasets show that CFd can consistently improve the performance of self-training in cross-domain and cross-language settings."
FedED: Federated Learning via Ensemble Distillation for Medical Relation Extraction,"['Dianbo Sui', 'Yubo Chen', 'Jun Zhao', 'Yantao Jia', 'Yuantao Xie', 'Weijian Sun']",,
Few-shot Complex Knowledge Base Question Answering via Meta Reinforcement Learning,"['Yuncheng Hua', 'Yuan-Fang Li', 'Gholamreza Haffari', 'Guilin Qi', 'Tongtong Wu']",,
Few-Shot Learning for Opinion Summarization,"['Arthur Bražinskas', 'Mirella Lapata', 'Ivan Titov']",,
Filtering Noisy Dialogue Corpora by Connectivity and Content Relatedness,"['Reina Akama', 'Sho Yokoi', 'Jun Suzuki', 'Kentaro Inui']",http://arxiv.org/abs/2004.14008v2,"Large-scale dialogue datasets have recently become available for training neural dialogue agents. However, these datasets have been reported to contain a non-negligible number of unacceptable utterance pairs. In this paper, we propose a method for scoring the quality of utterance pairs in terms of their connectivity and relatedness. The proposed scoring method is designed based on findings widely shared in the dialogue and linguistics research communities. We demonstrate that it has a relatively good correlation with the human judgment of dialogue quality. Furthermore, the method is applied to filter out potentially unacceptable utterance pairs from a large-scale noisy dialogue corpus to ensure its quality. We experimentally confirm that training data filtered by the proposed method improves the quality of neural dialogue agents in response generation."
Form2Seq : A Framework for Higher-Order Form Structure Extraction,"['Milan Aggarwal', 'Hiresh Gupta', 'Mausoom Sarkar', 'Balaji Krishnamurthy']",,
Friendly Topic Assistant for Transformer Based Abstractive Summarization,"['Zhengjue Wang', 'Zhibin Duan', 'Hao Zhang', 'chaojie wang', 'long tian', 'Bo Chen', 'Mingyuan Zhou']",,
From Zero to Hero: On the Limitations of Zero-Shot Language Transfer with Multilingual Transformers,"['Anne Lauscher', 'Vinit Ravishankar', 'Ivan Vulić', 'Goran Glavaš']",http://arxiv.org/abs/2005.00633v1,"Massively multilingual transformers pretrained with language modeling objectives (e.g., mBERT, XLM-R) have become a de facto default transfer paradigm for zero-shot cross-lingual transfer in NLP, offering unmatched transfer performance. Current downstream evaluations, however, verify their efficacy predominantly in transfer settings involving languages with sufficient amounts of pretraining data, and with lexically and typologically close languages. In this work, we analyze their limitations and show that cross-lingual transfer via massively multilingual transformers, much like transfer via cross-lingual word embeddings, is substantially less effective in resource-lean scenarios and for distant languages. Our experiments, encompassing three lower-level tasks (POS tagging, dependency parsing, NER), as well as two high-level semantic tasks (NLI, QA), empirically correlate transfer performance with linguistic similarity between the source and target languages, but also with the size of pretraining corpora of target languages. We also demonstrate a surprising effectiveness of inexpensive few-shot transfer (i.e., fine-tuning on a few target-language instances after fine-tuning in the source) across the board. This suggests that additional research efforts should be invested to reach beyond the limiting zero-shot conditions."
Frustratingly Simple Few-Shot Named Entity Recognition with Structured Nearest Neighbor Learning,"['Yi Yang', 'Arzoo Katiyar']",,
